gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
4022300469	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/215187384/original.jpg	https://www.inaturalist.org/photos/215187384					2022-07-17T12:20:00Z	Braden Wojahn		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Braden Wojahn
4022300469	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/215187344/original.jpg	https://www.inaturalist.org/photos/215187344					2022-07-17T12:20:00Z	Braden Wojahn		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Braden Wojahn
4022277250	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/252838221/original.jpeg	https://www.inaturalist.org/photos/252838221					2023-01-21T00:35:28Z	clara-c		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	clara-c
4022225856	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/252050468/original.jpg	https://www.inaturalist.org/photos/252050468					2022-12-17T17:37:00Z	santacruzmountaingoat		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	santacruzmountaingoat
4022219838	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/253134961/original.jpg	https://www.inaturalist.org/photos/253134961					2023-01-22T21:08:57Z	callamo		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	callamo
4022219838	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/253135061/original.jpg	https://www.inaturalist.org/photos/253135061					2023-01-22T21:08:57Z	callamo		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	callamo
4022214057	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/252695531/original.jpg	https://www.inaturalist.org/photos/252695531					2022-11-04T17:57:53Z	kensken		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	kensken
4022214057	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/252695542/original.jpg	https://www.inaturalist.org/photos/252695542					2022-11-04T17:57:53Z	kensken		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	kensken
4022172207	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/252691485/original.jpg	https://www.inaturalist.org/photos/252691485					2023-01-19T18:16:39Z	Larry Chen		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Larry Chen
4022131356	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/252809613/original.jpeg	https://www.inaturalist.org/photos/252809613					2023-01-17T20:22:34Z	Jack Byrley		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Jack Byrley
